value;nbIteration
10.0;616
11.0;779
12.0;777
13.0;1040
14.0;1057
15.0;1389
16.0;2270
17.0;1004
18.0;1297
19.0;573
20.0;1255
21.0;1409
22.0;1335
23.0;475
24.0;1151
25.0;1217
26.0;719
27.0;909
28.0;1242
29.0;1557
30.0;2276
31.0;1410
32.0;1460
33.0;1827
34.0;1305
35.0;1107
36.0;1573
37.0;1166
38.0;1252
39.0;1039
40.0;2431
41.0;1843
42.0;948
43.0;837
44.0;1400
45.0;1463
46.0;691
47.0;1066
48.0;1922
49.0;1767
50.0;1444
51.0;852
52.0;1406
53.0;1811
54.0;2103
55.0;1978
56.0;2145
57.0;1923
58.0;1953
59.0;1026
60.0;3338
61.0;1488
62.0;901
63.0;925
64.0;1116
65.0;1542
66.0;1602
67.0;2405
68.0;1244
69.0;1612
70.0;754
71.0;1894
72.0;2433
73.0;1539
74.0;1435
75.0;1239
76.0;2030
77.0;1229
78.0;1136
79.0;1261
80.0;1535
81.0;1585
82.0;1106
83.0;2370
84.0;1041
85.0;1582
86.0;2049
87.0;1147
88.0;1240
89.0;1053
90.0;1736
91.0;1176
92.0;1207
93.0;1424
94.0;1702
95.0;2717
96.0;1556
97.0;1891
98.0;2294
99.0;1519
100.0;1960